id,nombre,categoria,descripcion,ubicacion,latitud,longitud
1,Lago Sandoval,Reserva Natural,"Hermoso lago de herradura en la selva amazónica. Ideal para nadar, observar nutrias gigantes y aves exóticas como guacamayos y tucanes. Rodeado de vegetación exuberante.",Reserva Nacional Tambopata,-12.6125,-69.1778
2,Collpa de Guacamayos Chuncho,Atracción Natural,"Acantilado de arcilla en la orilla del río Tambopata donde cientos de guacamayos y loros se reúnen al amanecer para alimentarse de sales minerales.",Río Tambopata,-12.8356,-69.3227
3,Inkaterra Hacienda Concepción,Alojamiento,"Eco-lodge de lujo en la selva. Ofrece cabañas con techo de palma, caminatas guiadas, dosel y observación de flora y fauna.",Carretera a Cusco km 6,-12.6333,-69.1833
4,Isla de los Monos,Santuario de Vida Silvestre,"Isla de rehabilitación para monos huérfanos. Los visitantes pueden observar de cerca diversas especies como capuchinos, monos araña y monos ardilla.",Río Madre de Dios,-12.5689,-69.2011
5,Sede de la Reserva Nacional Tambopata,Reserva Natural,"Entrada principal y centro de información de la reserva. Ofrece exhibiciones sobre la biodiversidad amazónica y acceso a senderos.",Tambopata,-12.6523,-69.1500
6,Collpa de Colorado,Atracción Natural,"Una collpa de arcilla más pequeña e íntima, visitada por loros y guacamayos, que ofrece una alternativa más tranquila que Chuncho.",Río Tambopata,-12.8200,-69.3100
7,Lago Valencia,Lago de Herradura,"Enorme lago de herradura famoso por sus caimanes negros, nutrias gigantes y la pesca de pirañas. Excursión de día completo desde la ciudad.",Lago Valencia,-12.7500,-69.4500
8,Lago Cocococha,Atracción Natural,"Impresionante lago de herradura dentro de la reserva, al que se llega tras una caminata por la selva. Ideal para avistar jaguares y caimanes negros.",Reserva Nacional Tambopata,-12.7100,-69.2500
9,Lago Tres Chimbadas,Lago de Herradura,"Lago gestionado por la comunidad que ofrece paseos en catamarán para observar hoatzines y nutrias gigantes.",Reserva Nacional Tambopata,-12.6800,-69.2200
10,Plaza de Armas de Puerto Maldonado,Atracción Urbana,"Plaza principal con el icónico Obelisco, estatuas de castañeros y tiendas locales. Excelente punto de partida.",Puerto Maldonado,-12.5954,-69.1890
11,Obelisco de Puerto Maldonado,Mirador,"Monumento de 70 metros de altura que ofrece vistas panorámicas de 360 grados de la ciudad y la confluencia de los ríos Tambopata y Madre de Dios.",Puerto Maldonado,-12.5958,-69.1885
12,Serpentario Amazónico,Santuario de Vida Silvestre,"Serpentario dedicado al rescate y rehabilitación de reptiles amazónicos, incluyendo anacondas y serpientes venenosas.",Carretera a Cusco,-12.6150,-69.1900
13,Mariposario Tambopata,Santuario de Vida Silvestre,"Casa de mariposas que exhibe la diversidad de mariposas morpho y otras especies de la cuenca amazónica.",Puerto Maldonado,-12.6200,-69.1850
14,Reserva Ecológica Taricaya,Santuario de Vida Silvestre,"Centro pionero de rescate de animales y proyecto de dosel gestionado por voluntarios. Famoso por su pasarela de dosel y su proyecto de tortugas.",Río Madre de Dios,-12.5400,-69.1700
15,Pasarela de Dosel de Taricaya,Aventura,"Una de las pasarelas de dosel más largas de Sudamérica, que ofrece una vista aérea del dosel amazónico.",Reserva Taricaya,-12.5405,-69.1705
16,Posada Amazonas Lodge,Alojamiento,"Eco-lodge galardonado, co-propiedad de la comunidad Ese'Eja. Cuenta con una torre de dosel de 30 metros.",Río Tambopata,-12.7400,-69.3000
17,Refugio Amazonas Lodge,Alojamiento,"Alojamiento en la selva ideal para familias, conocido por su programa infantil y sus oportunidades para la fotografía de naturaleza.",Reserva Nacional Tambopata,-12.8000,-69.3500
18,Tambopata Research Center,Alojamiento,"Alojamiento en lo profundo de la selva, ubicado en el corazón virgen de la reserva, famoso por la investigación de guacamayos.",Reserva Nacional Tambopata,-12.8400,-69.4000
19,Wasai Maldonado Lodge,Alojamiento,"Alojamiento en la selva dentro del límite de la ciudad, que ofrece fácil acceso a paseos por el río y a la cocina local.",Puerto Maldonado,-12.5950,-69.1850
20,Corto Maltes Amazonia Lodge,Alojamiento,"Eco-lodge que ofrece bungalós privados y extensos senderos en la selva, cerca del Lago Sandoval.",Zona del Lago Sandoval,-12.6100,-69.1800
21,Puerto Capitania,Puerto,"Puerto fluvial principal de Puerto Maldonado. Centro neurálgico donde los viajeros abordan botes hacia los alojamientos en la selva.",Puerto Maldonado,-12.5680,-69.2050
22,Parque Nacional Bahuaja-Sonene,Parque Nacional,"Gran área protegida que abarca selvas tropicales húmedas y sabanas tropicales (pampas). Hogar de flora única.",Madre de Dios,-12.7500,-69.4000
23,Quebrada Gamitana,Aventura,"Quebrada de aguas negras perfecta para practicar kayak y avistar caimanes al atardecer.",Tambopata,-12.6900,-69.2300
24,Comunidad Nativa Infierno,Atracción Cultural,"Comunidad indígena que co-gestiona Posada Amazonas. Ofrece intercambios culturales y caminatas etnobotánicas.",Río Tambopata,-12.7300,-69.2800
25,Centro Etnobotánico Ese'Eja,Atracción Cultural,"Centro dedicado a preservar el conocimiento tradicional de las plantas medicinales de la comunidad Ese'Eja.",Comunidad Infierno,-12.7310,-69.2810
26,Comunidad Nativa Palma Real,Atracción Cultural,"Comunidad que ofrece una auténtica inmersión cultural, comidas tradicionales y experiencias de rastreo en el bosque.",Río Palma Real,-12.7800,-69.1000
27,Mercado Central de Puerto Maldonado,Atracción Cultural,"Mercado local vibrante que ofrece frutas amazónicas como el aguaje, carnes exóticas y artesanía tradicional.",Puerto Maldonado,-12.5990,-69.1900
28,Confluencia de los Ríos Tambopata y Madre de Dios,Mirador,"Punto panorámico donde confluyen los dos principales ríos de la región, mejor apreciado desde un bote o desde el Obelisco.",Puerto Maldonado,-12.5850,-69.1950
29,Amazon Shelter,Santuario de Vida Silvestre,"Centro de rescate animal especializado en la rehabilitación de mamíferos y aves confiscados del tráfico ilegal.",Carretera a Cusco,-12.6400,-69.1850
30,Lago Sachavacayoc,Lago de Herradura,"Lago remoto y virgen al que se llega tras una larga caminata por la selva. Excelente para la observación de aves y caimanes.",Tambopata,-12.7500,-69.2700
31,Palmetum de Tambopata,Atracción Natural,"Bosque único dominado por varias especies de palmeras, que ofrece recorridos botánicos especializados.",Reserva Nacional Tambopata,-12.7200,-69.2600
32,Avenida Leon Velarde,Lugar emblemático,"Principal avenida comercial de la ciudad, bordeada de restaurantes que sirven platos regionales como cecina y tacacho.",Puerto Maldonado,-12.5970,-69.1860
33,Alameda de Puerto Maldonado,Parque,"Paseo ribereño perfecto para caminatas al atardecer, con puestos de comida local y bancas.",Río Madre de Dios,-12.5750,-69.2000
34,Mirador de la Biodiversidad,Mirador,"Mirador más pequeño que ofrece paneles educativos sobre la megabiodiversidad de la región.",Puerto Maldonado,-12.5800,-19.1980
35,Puente Billinghurst,Puente,"Puente colgante histórico que conecta Puerto Maldonado con la ruta hacia la frontera con Brasil. Ideal para fotografías.",Río Madre de Dios,-12.5820,-69.1990
36,Proyecto Guacamayos Tambopata,Centro de Investigación,"Proyecto de investigación científica que estudia las poblaciones de guacamayos. Los visitantes pueden aprender sobre los esfuerzos de conservación.",Reserva Nacional Tambopata,-12.8356,-69.3227
37,Explorer's Inn,Alojamiento,"Eco-lodge histórico conocido por sus extensas redes de senderos y su continua investigación científica desde la década de 1970.",Tambopata,-12.8400,-69.2900
38,Sistema de Senderos de Explorer's Inn,Aventura,"Más de 40 km de senderos señalizados que atraviesan diversos hábitats, perfectos para naturalistas aficionados y profesionales.",Tambopata,-12.8410,-69.2910
39,Torre de Dosel de Explorer's Inn,Mirador,"Torre de 30 metros que ofrece espectaculares vistas al amanecer y observación de aves desde el dosel.",Tambopata,-12.8420,-69.2920
40,Centro Amazónico de Educación e Investigación Ambiental (ACEER),Centro de Investigación,"Fundación que ofrece talleres y pasarelas de dosel dedicadas a la educación sobre la selva tropical.",Madre de Dios,-12.5500,-69.1600
41,Lago Condenado,Lago de Herradura,"Lago de aguas negras ideal para observar hoatzines (pavas apestosas) y caimanes.",Tambopata,-12.7600,-69.3100
42,Río Negro (Black River),Aventura,"Afluente caracterizado por sus aguas oscuras. Popular para kayak y natación debido a la ausencia de mosquitos.",Tambopata,-12.7800,-69.3300
43,Lago La Pastora,Lago de Herradura,"Lago tranquilo rodeado de palmeras, conocido por sus abundantes poblaciones de monos.",Tambopata,-12.7700,-69.2400
44,Zonas de Pesca de Pirañas,Aventura,"Áreas designadas a lo largo del río Madre de Dios donde los turistas pueden pescar pirañas de vientre rojo.",Río Madre de Dios,-12.5700,-69.2100
45,Kayak en el Río Madre de Dios,Aventura,"Recorridos guiados en kayak que ofrecen una perspectiva silenciosa y cercana al agua de la cuenca amazónica.",Río Madre de Dios,-12.5680,-69.2050
46,Safari Nocturno de Caimanes,Aventura,"Paseo en bote por la noche utilizando linternas para ver los ojos brillantes de los caimanes negros y blancos.",Río Tambopata,-12.7500,-69.2800
47,Torre de Observación de Aves en Posada Amazonas,Mirador,"Torre de dosel que ofrece la oportunidad de ver águilas arpías y tucanes por la mañana.",Posada Amazonas,-12.7410,-69.3010
